,Question Title,Question Slug,Question Text,Topic Tagged text,Difficulty Level,Success Rate,total submission,total accepted,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text,Question,Answer,Test Imports,Assert Statement List,Tag
591,Construct String from Binary Tree,construct-string-from-binary-tree,"Given the root of a binary tree, construct a string consisting of parenthesis and integers from a binary tree with the preorder traversal way, and return it. Omit all the empty parenthesis pairs that do not affect the one-to-one mapping relationship between the string and the original binary tree. ","String,Tree,Depth-First Search,Binary Tree",Easy,57.6,220994.0,127369.0,1343.0,1714.0,,"536,652","Construct Binary Tree from String,Find Duplicate Subtrees",,,,,
592,Sales Person,sales-person,"Table: SalesPerson  Table: Company  Table: Orders  Write an SQL query to report the names of all the salespersons who did not have any orders related to the company with the name ""RED"". Return the result table in any order. The query result format is in the following example. ",Database,Easy,68.6,76777.0,52667.0,268.0,48.0,"You need to query who sold to company 'RED' first, then output the sales person who is not in the first query result.",,,,,,,
593,Tree Node,tree-node,Table: Tree  Each node in the tree can be one of three types: Write an SQL query to report the type of each node in the tree. Return the result table ordered by id in ascending order. The query result format is in the following example. ,Database,Medium,72.0,62167.0,44777.0,364.0,32.0,You can judge the node type by querying whether the node's id shows up in p_id column and whether the node's p_id is null.,,,,,,,
594,Find Duplicate File in System,find-duplicate-file-in-system,"Given a list paths of directory info, including the directory path, and all the files with contents in this directory, return all the duplicate files in the file system in terms of their paths. You may return the answer in any order. A group of duplicate files consists of at least two files that have the same content. A single directory info string in the input list has the following format: It means there are n files (f1.txt, f2.txt ... fn.txt) with content (f1_content, f2_content ... fn_content) respectively in the directory ""root/d1/d2/.../dm"". Note that n >= 1 and m >= 0. If m = 0, it means the directory is just the root directory. The output is a list of groups of duplicate file paths. For each group, it contains all the file paths of the files that have the same content. A file path is a string that has the following format: ","Array,Hash Table,String",Medium,63.8,148776.0,94858.0,808.0,916.0,,2079,Delete Duplicate Folders in System,,,,,
595,Triangle Judgement,triangle-judgement,,Database,Easy,70.8,69971.0,49574.0,211.0,50.0,,,,,,,,
596,Valid Triangle Number,valid-triangle-number,"Given an integer array nums, return the number of triplets chosen from the array that can make triangles if we take them as side lengths of a triangle. ","Array,Two Pointers,Binary Search,Greedy,Sorting",Medium,49.7,270227.0,134273.0,2468.0,150.0,,259,3Sum Smaller,,,,,
597,Shortest Distance in a Plane,shortest-distance-in-a-plane,,Database,Medium,63.1,47090.0,29715.0,168.0,60.0,,,,,,,,
598,Shortest Distance in a Line,shortest-distance-in-a-line,,Database,Easy,81.1,61858.0,50158.0,250.0,35.0,,,,,,,,
599,Second Degree Follower,second-degree-follower,,Database,Medium,35.5,110233.0,39114.0,117.0,697.0,,,,,,,,
600,Average Salary: Departments VS Company,average-salary-departments-vs-company,,Database,Hard,56.2,45737.0,25702.0,175.0,59.0,,1641,Countries You Can Safely Invest In,,,,,
601,Add Bold Tag in String,add-bold-tag-in-string,,"Array,Hash Table,String,Trie,String Matching",Medium,48.1,154253.0,74254.0,899.0,153.0,,"56,591","Merge Intervals,Tag Validator",,,,,
602,Merge Two Binary Trees,merge-two-binary-trees,"You are given two binary trees root1 and root2. Imagine that when you put one of them to cover the other, some nodes of the two trees are overlapped while the others are not. You need to merge the two trees into a new binary tree. The merge rule is that if two nodes overlap, then sum node values up as the new value of the merged node. Otherwise, the NOT null node will be used as the node of the new tree. Return the merged tree. Note: The merging process must start from the root nodes of both trees. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,77.9,707017.0,550478.0,6402.0,241.0,,,,,,,,
603,Students Report By Geography,students-report-by-geography,,Database,Hard,63.3,25450.0,16105.0,120.0,132.0,,,,,,,,
604,Biggest Single Number,biggest-single-number,,Database,Easy,47.4,94832.0,44956.0,116.0,106.0,,,,,,,,
605,Not Boring Movies,not-boring-movies,"Table: Cinema  Write an SQL query to report the movies with an odd-numbered ID and a description that is not ""boring"". Return the result table ordered by rating in descending order. The query result format is in the following example. ",Database,Easy,72.5,251796.0,182573.0,478.0,362.0,,,,,,,,
606,Task Scheduler,task-scheduler,"Given a characters array tasks, representing the tasks a CPU needs to do, where each letter represents a different task. Tasks could be done in any order. Each task is done in one unit of time. For each unit of time, the CPU could complete either one task or just be idle. However, there is a non-negative integer n that represents the cooldown period between two same tasks (the same letter in the array), that is that there must be at least n units of time between any two same tasks. Return the least number of units of times that the CPU will take to finish all the given tasks. ","Array,Hash Table,Greedy,Sorting,Heap (Priority Queue),Counting",Medium,54.4,610179.0,332057.0,6262.0,1206.0,,"358,778,2084","Rearrange String k Distance Apart,Reorganize String,Maximum Number of Weeks for Which You Can Work",,,,,
607,Add One Row to Tree,add-one-row-to-tree,"Given the root of a binary tree and two integers val and depth, add a row of nodes with value val at the given depth depth. Note that the root node is at depth 1. The adding rule is: ","Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,53.9,152978.0,82458.0,1250.0,170.0,,,,,,,,
608,Maximum Distance in Arrays,maximum-distance-in-arrays,,"Array,Greedy",Medium,41.6,85502.0,35531.0,594.0,62.0,,,,,,,,
609,Minimum Factorization,minimum-factorization,,"Math,Greedy",Medium,33.2,30354.0,10092.0,119.0,99.0,,,,,,,,
610,Exchange Seats,exchange-seats,"Table: Seat  Write an SQL query to swap the seat id of every two consecutive students. If the number of students is odd, the id of the last student is not swapped. Return the result table ordered by id in ascending order. The query result format is in the following example. ",Database,Medium,69.2,144301.0,99874.0,652.0,354.0,,,,,,,,
611,Swap Salary,swap-salary,"Table: Salary  Write an SQL query to swap all 'f' and 'm' values (i.e., change all 'f' values to 'm' and vice versa) with a single update statement and no intermediate temporary tables. Note that you must write a single update statement, do not write any select statement for this problem. The query result format is in the following example. ",Database,Easy,79.4,232201.0,184414.0,847.0,492.0,,,,,,,,
612,Maximum Product of Three Numbers,maximum-product-of-three-numbers,"Given an integer array nums, find three numbers whose product is maximum and return the maximum product. ","Array,Math,Sorting",Easy,46.8,437389.0,204489.0,2617.0,520.0,,152,Maximum Product Subarray,,,,,
613,K Inverse Pairs Array,k-inverse-pairs-array,"For an integer array nums, an inverse pair is a pair of integers [i, j] where 0 <= i < j < nums.length and nums[i] > nums[j]. Given two integers n and k, return the number of different arrays consist of numbers from 1 to n such that there are exactly k inverse pairs. Since the answer can be huge, return it modulo 109 + 7. ",Dynamic Programming,Hard,37.3,66438.0,24766.0,752.0,108.0,,,,,,,,
614,Course Schedule III,course-schedule-iii,"There are n different online courses numbered from 1 to n. You are given an array courses where courses[i] = [durationi, lastDayi] indicate that the ith course should be taken continuously for durationi days and must be finished before or on lastDayi. You will start on the 1st day and you cannot take two or more courses simultaneously. Return the maximum number of courses that you can take. ","Array,Greedy,Heap (Priority Queue)",Hard,35.7,157006.0,56052.0,1903.0,54.0,"During iteration, say I want to add the current course, currentTotalTime being total time of all courses taken till now, but adding the current course might exceed my deadline or it doesn’t.

1. If it doesn’t, then I have added one new course. Increment the currentTotalTime with duration of current course. 2. If it exceeds deadline, I can swap current course with current courses that has biggest duration.
* No harm done and I might have just reduced the currentTotalTime, right? 
* What preprocessing do I need to do on my course processing order so that this swap is always legal?","207,210,2176","Course Schedule,Course Schedule II,Parallel Courses III",,,,,
615,Design Excel Sum Formula,design-excel-sum-formula,,"Graph,Design,Topological Sort",Hard,41.6,26250.0,10917.0,176.0,214.0,,,,,,,,
616,Smallest Range Covering Elements from K Lists,smallest-range-covering-elements-from-k-lists,"You have k lists of sorted integers in non-decreasing order. Find the smallest range that includes at least one number from each of the k lists. We define the range [a, b] is smaller than range [c, d] if b - a < d - c or a < c if b - a == d - c. ","Array,Hash Table,Greedy,Sliding Window,Sorting,Heap (Priority Queue)",Hard,58.4,109130.0,63761.0,2094.0,36.0,,76,Minimum Window Substring,,,,,
